Locations correspond to U00096.2 reference genome,,,,,,,,,,,,,,
NUM,Operon,Promoters,Terminators,TU count,TU,STRAND,GENE CNT,RegulonDB operon,Operon mismatches,GENES,WT_LOG,WT_STAT,WT_LOG,WT_STAT
64,,,,,I-106956:T-107539,+,,,,,11.2,11.3,100,100
65,,,,,I-106956:T-111016,+,2,,,secM-secA,9.2,6.9,100,95.1
66,,,,,I-106956:T-111873,+,3,,,secM-secA-mutT,8.2,5.7,97.6,78.6
67,,,,,S-107669:T-111016,+,2,,,secM-secA,8.9,6.2,100,94
68,,,,,S-107669:T-111873,+,3,,,secM-secA-mutT,7.8,4.9,97.2,75
69,,,,,T-111608:I-112687,-,2,,,yacF-yacG,6.7,7,100,99.2
70,T-111608:P-113301,2,1,2,T-111608:P-113301,-,3,coaE-zapD-yacG,0,coaE-yacF-yacG,6.4,7.2,99.8,99.1
71,P-113395:T-114503,1,1,1,P-113395:T-114503,+,1,guaC,0,guaC,8.6,4.2,100,74.7
72,T-117735:P-118678,1,1,1,T-117735:P-118678,-,1,nadC,0,nadC,4.7,0.9,98.6,16.1
73,,,,,P-118702:T-120152,+,2,,,ampD-ampE,5.9,6.3,99.2,96
74,P-118702:T-120430,1,2,2,P-118702:T-120430,+,2,ampDE,0,ampD-ampE,5.6,5.8,98.7,89.1
75,T-119942:P-121676,1,2,2,T-119942:P-121676,-,1,aroP,0,aroP,9.1,8.5,100,96.7
76,,,,,T-120161:P-121676,-,1,,,aroP,9.7,9.1,100,99.8
77,P-122035:T-122941,1,1,1,P-122035:T-122941,+,1,pdhR-aceEF-lpd,0,pdhR,6.9,3.6,100,65.4
78,,,,,P-122970:T-127597,+,2,,,aceE-aceF,11.1,7.7,100,99.2
79,P-122970:T-129365,2,2,3,P-122970:T-129365,+,3,pdhR-aceEF-lpd,0,aceE-aceF-lpd,11.3,8,100,98.3
80,,,,,S-127718:T-129365,+,1,,,lpd,11.9,9.1,100,99.2
81,P-131520:T-134271,1,1,1,P-131520:T-134271,+,1,acnB,0,acnB,10.6,8.7,100,98.5
82,P-134340:T-134767,1,1,1,P-134340:T-134767,+,1,yacL,0,yacL,7.1,9.9,100,100
83,,,,,T-134777:S-136506,-,2,,,speE-speD,9.1,5,100,80.1
84,T-134777:P-136939,2,1,2,T-134777:P-136939,-,3,yacC-speED,0,yacC-speE-speD,8.4,4.8,100,76.2
85,,,,,P-137046:T-138657,+,1,,,cueO,8.7,4.7,99.9,75.2
86,P-137046:T-138753,1,2,2,P-137046:T-138753,+,1,cueO,0,cueO,8.5,4.4,99.9,71
87,T-138665:P-141262,1,3,3,T-138665:P-141262,-,1,gcd,0,gcd,5.8,9.3,98.1,99.9
88,,,,,T-138738:P-141262,-,1,,,gcd,5.9,9.4,100,100
89,,,,,T-138796:P-141262,-,1,,,gcd,6,9.4,100,100
90,,,,,P-141361:T-141983,+,1,,,hpt,8.4,5.9,100,87.6
91,P-141361:T-145048,1,2,2,P-141361:T-145048,+,4,yadI:hpt:yadGH,2,hpt-yadG-yadH-yadI,6.8,7,99.6,97.5
92,T-141868:P-142702,1,2,2,T-141868:P-142702,-,1,can,0,can,8.9,6.5,100,86.2
93,,,,,T-141996:P-142702,-,1,,,can,9.6,7.6,100,100
94,T-146098:P-146723,1,1,1,T-146098:P-146723,-,1,panD,0,panD,6.3,6.1,94.4,90.4
95,T-147746:P-149629,1,2,2,T-147746:P-149629,-,2,panBC,0,panB-panC,8.3,4.8,100,73.8
96,,,,,T-147937:P-149629,-,2,,,panB-panC,8.7,5.3,100,82.2
97,,,,,T-157247:S-159171,-,2,,,pcnB-folK,7,3.6,100,58.4
98,,,,,T-157247:I-159389,-,2,,,pcnB-folK,6.8,4,100,62.6
99,,,,,T-157247:I-161376,-,4,,,dksA-yadB-pcnB-folK,6.9,6.3,100,70.2
100,T-157247:P-162052,4,2,6,T-157247:P-162052,-,6,pcnB-folK:sfsA-dksA-gluQ:ligT,2,ligT-sfsA-dksA-yadB-pcnB-folK,6.6,5.4,99.9,60.3
101,,,,,T-160098:I-161376,-,1,,,dksA,8.5,12.5,100,100
102,,,,,T-160098:P-162052,-,3,,,ligT-sfsA-dksA,7,8.2,99.8,65.4
103,P-162001:T-167283,1,1,1,P-162001:T-167283,+,2,mrcB:hrpB,1,hrpB-mrcB,6.2,2.7,97.4,49.4
104,,,,,P-167427:T-169742,+,1,,,fhuA,8,2.8,100,42.1
105,P-167427:T-173654,2,2,4,P-167427:T-173654,+,4,fhuACDB,0,fhuA-fhuC-fhuD-fhuB,5.1,1.1,85.3,17.1
106,,,,,I-169125:T-169742,+,,,,,8.1,6.9,100,94.8
107,,,,,I-169125:T-173654,+,3,,,fhuC-fhuD-fhuB,4.1,1,79.8,14.9
108,T-173373:P-174990,1,2,2,T-173373:P-174990,-,1,hemL,0,hemL,7.1,6.5,99.9,88.1
109,,,,,T-173574:P-174990,-,1,,,hemL,7.5,7.1,99.9,96
110,P-174934:T-176984,1,1,1,P-174934:T-176984,+,2,erpA:clcA,1,clcA-erpA,5.8,6.1,92.2,82.1
111,T-176986:P-179180,1,2,2,T-176986:P-179180,-,3,mtn-btuF-yadS,0,mtn-btuF-yadS,5.6,2.6,99.4,41.3
112,,,,,T-178463:P-179180,-,,,,,7.7,6.6,100,100
113,P-179199:T-182335,2,1,2,P-179199:T-182335,+,2,dgt:degP,1,dgt-degP,7,6.3,99.1,94.3
114,T-180498:AS-181047,1,1,1,T-180498:AS-181047,-,,,,,1.6,6,41.5,90.2
115,,,,,I-180670:T-182335,+,1,,,degP,8.2,7.1,100,99.1
116,P-182448:T-183895,1,1,1,P-182448:T-183895,+,1,cdaR,0,cdaR,4,3.8,84.9,60.2
117,,,,,T-183607:I-183915,-,,,,,5.7,10.4,77,100
118,T-183607:P-184192,2,2,4,T-183607:P-184192,-,1,yaeH,0,yaeH,6.6,10.9,87.9,100
119,,,,,T-183678:I-183915,-,,,,,7.5,11.6,100,100
120,,,,,T-183678:P-184192,-,1,,,yaeH,7.5,11.5,100,100
121,,,,,T-184247:S-185975,-,2,,,dapD-yaeI,6.3,3.9,78,50.2
122,T-184247:P-189625,2,3,5,T-184247:P-189625,-,4,map-glnD-dapD:yaeI,1,map-glnD-dapD-yaeI,5.5,3.5,91.5,51.9
123,,,,,T-185088:S-185975,-,1,,,dapD,10.3,7.5,100,95.4
124,,,,,T-185088:P-189625,-,3,,,map-glnD-dapD,6.2,4.1,98.3,61
125,AS-186144:T-186936,1,1,1,AS-186144:T-186936,+,,,,,4.5,0.2,97,4.5
126,,,,,T-188711:P-189625,-,1,,,map,7.9,6.4,100,89
127,,,,,P-189641:T-191718,+,3,,,tff-rpsB-tsf,12.6,9.3,100,97.6
128,,,,,P-189641:T-193424,+,4,,,tff-rpsB-tsf-pyrH,11.8,8.7,100,96.9
129,,,,,P-189641:T-203365,+,14,,,tff-rpsB-tsf-pyrH-frr-dxr-ispU-cdsA-rseP-bamA-skp-lpxD-fabZ-lpxA,10.3,8.3,100,97.6
130,P-189641:T-209603,3,4,9,P-189641:T-209603,+,18,pyrH:tff-rpsB-tsf:accA:bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE:cdsA:rseP:ispU:frr:dxr,8,tff-rpsB-tsf-pyrH-frr-dxr-ispU-cdsA-rseP-bamA-skp-lpxD-fabZ-lpxA-lpxB-rnhB-dnaE-accA,9.5,6.6,100,81.3
131,,,,,S-189713:T-191718,+,2,,,rpsB-tsf,12.8,9.3,100,97.6
132,,,,,S-189713:T-193424,+,3,,,rpsB-tsf-pyrH,11.9,8.7,100,96.8
133,,,,,S-189713:T-203365,+,13,,,rpsB-tsf-pyrH-frr-dxr-ispU-cdsA-rseP-bamA-skp-lpxD-fabZ-lpxA,10.3,8.3,100,97.6
134,,,,,S-189713:T-209603,+,17,,,rpsB-tsf-pyrH-frr-dxr-ispU-cdsA-rseP-bamA-skp-lpxD-fabZ-lpxA-lpxB-rnhB-dnaE-accA,9.5,6.6,100,81.2
135,,,,,I-208277:T-209603,+,1,,,accA,10.2,7.7,100,99.5
136,P-209659:T-212280,1,1,1,P-209659:T-212280,+,2,yaeR:ldcC,1,ldcC-yaeR,5.7,8.3,97.9,100
137,P-212307:T-213857,1,1,1,P-212307:T-213857,+,1,tilS,0,tilS,5.6,2.4,100,42.7
138,T-213519:P-214196,1,1,1,T-213519:P-214196,-,2,yaeP-rof,0,yaeP-rof,6.7,9.7,95.7,95.6
139,P-214197:T-216254,3,1,3,P-214197:T-216254,+,3,yaeQ-arfB-nlpE,0,yaeQ-yaeJ-nlpE,5.9,5.1,96.4,71.8
140,,,,,S-214270:T-216254,+,3,,,yaeQ-yaeJ-nlpE,6.1,5.3,99.9,74.4
141,,,,,I-214622:T-216254,+,2,,,yaeJ-nlpE,6.2,6.3,100,87.5
142,,,,,T-217035:S-218836,-,1,,,proS,9.3,7.2,100,96.3
143,,,,,T-217035:S-220072,-,3,,,rcsF-yaeB-proS,7.6,5.9,99.7,83.7
144,T-217035:P-222713,3,2,4,T-217035:P-222713,-,6,proS:rcsF-yaeB:metNIQ,2,metN-metI-metQ-rcsF-yaeB-proS,8.6,5.3,99.9,77.3
145,,,,,T-220076:P-222713,-,3,,,metN-metI-metQ,9.7,4.5,100,70
146,P-222807:T-223426,1,1,1,P-222807:T-223426,+,1,gmhB,0,gmhB,7.6,5,100,80.6
147,,,,,P-223486:T-225605,+,3,,,rrsH-ileV-alaV,0.9,0.3,11.1,5
148,,,,,P-223486:T-229031,+,6,,,rrsH-ileV-alaV-rrlH-rrfH-aspU,0.8,0.3,10.9,4.7
149,P-223486:T-230260,3,3,7,P-223486:T-230260,+,7,rrsH-ileV-alaV-rrlH-rrfH:dkgB:aspU,2,rrsH-ileV-alaV-rrlH-rrfH-aspU-dkgB,1.4,0.6,24.7,10.6
150,,,,,S-223595:T-225605,+,3,,,rrsH-ileV-alaV,0.6,0.3,6.3,4.2
151,,,,,S-223595:T-229031,+,6,,,rrsH-ileV-alaV-rrlH-rrfH-aspU,0.7,0.3,9.1,4.4
152,,,,,S-223595:T-230260,+,7,,,rrsH-ileV-alaV-rrlH-rrfH-aspU-dkgB,1.4,0.6,23.4,10.4
153,,,,,S-229135:T-230260,+,1,,,dkgB,4.1,2.1,85.7,40.1
154,T-229949:P-230983,1,1,1,T-229949:P-230983,-,1,yafC,0,yafC,5,4.8,93,78.7
155,P-231073:T-232490,1,1,1,P-231073:T-232490,+,1,yafDE,0,yafD,6,6.5,93.1,88.4
156,,,,,T-232559:S-233981,-,1,,,mltD,9.6,6.8,100,95.6
157,T-232559:P-234955,2,1,2,T-232559:P-234955,-,2,mltD:gloB,1,gloB-mltD,8,7.3,99.2,94.7
158,AS-234461:T-234754,1,1,1,AS-234461:T-234754,+,,,,,3.4,0.6,83,11.2
159,P-234786:T-235648,1,1,1,P-234786:T-235648,+,1,yafS,0,yafS,4.7,4.3,100,69.3
160,T-235279:P-236005,1,1,1,T-235279:P-236005,-,1,rnhA,0,rnhA,5.3,3.7,100,59.3
161,P-235938:T-237054,3,1,3,P-235938:T-237054,+,2,dnaQ:aspV,1,dnaQ-aspV,7.2,7.3,93.7,89.5
162,,,,,S-236022:T-237054,+,2,,,dnaQ-aspV,7.7,7.9,100,96.8
163,,,,,S-236910:T-237054,+,1,,,aspV,6.9,5.7,100,77.2
164,T-239264:P-240215,1,1,1,T-239264:P-240215,-,1,yafV,0,yafV,4.6,6.9,97.8,93.6
165,P-240320:T-240843,1,1,1,P-240320:T-240843,+,1,ivy,0,ivy,8.2,9,98.9,95.4
166,T-240842:P-243345,1,1,1,T-240842:P-243345,-,1,fadE,0,fadE,6.1,9.8,97.6,100
167,P-243513:T-245360,1,1,1,P-243513:T-245360,+,2,lpcA:yafJ,1,lpcA-yafJ,8.1,5.7,100,82.7
168,,,,,T-244972:S-245883,-,1,,,yafK,7.5,5,100,75.3
169,T-244972:P-246532,2,1,2,T-244972:P-246532,-,3,dinJ-yafQ:yafK,1,dinJ-yafQ-yafK,6.8,6.4,98.8,85
170,P-250504:T-253209,2,1,2,P-250504:T-253209,+,4,dinB-yafNOP,0,dinB-yafN-yafO-yafP,2.8,4.5,70.3,69.3
171,,,,,S-251974:T-253209,+,3,,,yafN-yafO-yafP,2.9,5.8,70,81.1
172,T-254242:P-255807,1,1,1,T-254242:P-255807,-,1,pepD,0,pepD,8.4,8.5,100,100
173,P-255919:T-256449,1,1,1,P-255919:T-256449,+,1,gpt,0,gpt,7.2,1.7,100,35
174,,,,,P-256503:T-258256,+,2,,,frsA-crl,6.4,5.7,96.4,86.7
175,P-256503:T-258473,2,2,4,P-256503:T-258473,+,2,crl:frsA,1,frsA-crl,6.3,5.1,96.8,77.8
176,,,,,S-257811:T-258256,+,1,,,crl,8.8,7.9,100,97.5
177,,,,,S-257811:T-258473,+,1,,,crl,7.6,5.4,100,67.6
178,T-258037:P-259374,1,1,1,T-258037:P-259374,-,1,phoE,0,phoE,1.6,1.7,53,29.6
179,P-259462:T-262785,2,1,2,P-259462:T-262785,+,3,proBA:thrW,1,proB-proA-thrW,7.9,6.6,100,93.1
180,T-261527:AS-262303,1,1,1,T-261527:AS-262303,-,,,,,4,4.5,94.3,61.1
181,,,,,S-262061:T-262785,+,1,,,thrW,5.4,4.1,100,70.8
182,P-274512:T-277143,1,1,1,P-274512:T-277143,+,2,mmuPM,0,mmuP-mmuM,5.5,1.9,99.9,33.9
183,T-279625:P-280042,1,1,1,T-279625:P-280042,-,1,yagAB-ykgN,0,yagB,4.6,5.1,94.3,86.6
184,T-287505:P-289564,1,1,1,T-287505:P-289564,-,2,yagI:argF,1,argF-yagI,6.7,0.4,98.7,7.3
185,T-294241:P-294844,1,1,1,T-294241:P-294844,-,1,yagN,0,yagN,6.3,5.3,99.2,67.1
186,P-296287:T-296681,1,1,1,P-296287:T-296681,+,1,,,ptwF,0.6,6.4,24.3,99
187,,,,,P-302182:T-302865,+,1,,,yagU,9,8.5,100,100
188,P-302182:T-303289,1,2,2,P-302182:T-303289,+,1,yagU,0,yagU,7.5,7.2,100,96.2
189,T-311357:P-312027,1,2,2,T-311357:P-312027,-,2,ykgMO,0,ykgM-ykgO,7.3,12.1,95.8,100
190,,,,,T-311521:P-312027,-,2,,,ykgM-ykgO,8.9,13.2,100,100
191,P-312033:T-312475,1,1,1,P-312033:T-312475,+,,,,,2.8,7.1,67.3,99.5
192,T-312273:P-312509,1,1,1,T-312273:P-312509,-,1,ykgR,0,ykgR,0.5,7.4,34.2,94.9
193,P-312599:T-312997,1,1,1,P-312599:T-312997,+,,,,,,5.4,,91
194,P-316587:T-316783,1,1,1,P-316587:T-316783,+,,,,,,5.9,,100
195,T-317873:P-319256,1,1,1,T-317873:P-319256,-,1,ykgC,0,ykgC,3.7,8.8,85,100
196,P-319359:T-320407,1,1,1,P-319359:T-320407,+,1,ykgD,0,ykgD,2.3,5.5,58.7,81.7
197,P-320709:T-323791,1,1,1,P-320709:T-323791,+,3,ykgEFG,0,ykgE-ykgF-ykgG,4.3,7.7,90.6,99.9
198,T-324762:P-328584,1,1,1,T-324762:P-328584,-,3,betIBA,0,betI-betB-betA,5.9,4.2,99.9,64.9
199,P-328646:T-330741,1,1,1,P-328646:T-330741,+,1,betT,0,betT,5.9,4.4,97.9,71
200,P-331271:T-333067,1,1,1,P-331271:T-333067,+,1,yahA,0,yahA,7.9,2.6,99.9,44.7
201,P-342042:T-343206,1,1,1,P-342042:T-343206,+,1,yahK,0,yahK,7.6,9.5,100,99.9
202,P-344477:T-344810,1,1,1,P-344477:T-344810,+,,,,,6.5,3,100,47.3
203,,,,,P-345657:T-346080,+,1,,,yahO,9.3,14.3,100,100
204,P-345657:T-346214,1,2,2,P-345657:T-346214,+,1,yahO,0,yahO,7.2,12.4,83.3,100
205,T-345848:P-347692,1,1,1,T-345848:P-347692,-,1,prpR,0,prpR,1.3,7.4,41.1,97.2
206,P-354109:T-356764,1,1,1,P-354109:T-356764,+,2,codBA,0,codB-codA,8.3,1.5,100,28.7
207,T-360315:P-362424,1,1,1,T-360315:P-362424,-,2,lacZYA,0,lacY-lacA,4.6,7,96.8,96.4
208,AS-361408:T-362441,1,1,1,AS-361408:T-362441,+,,,,,1.8,2.9,42.2,50.4
209,T-365699:P-367759,1,1,1,T-365699:P-367759,-,1,mhpR-lacI,0,mhpR,5.4,7,97.4,86.7
210,I-375689:T-376618,1,1,1,I-375689:T-376618,+,1,yaiL,0,yaiL,4.8,4.4,77,69.8
211,T-376741:P-379142,1,1,1,T-376741:P-379142,-,3,frmRAB,0,frmR-frmA-frmB,5.9,5.8,97.1,75.3
212,T-379259:P-380057,1,1,1,T-379259:P-380057,-,,,,,0.9,5.7,29.9,90.9
213,T-387916:P-388977,1,1,1,T-387916:P-388977,-,1,hemB,0,hemB,7.4,4.9,100,82.6
214,T-392153:AS-392606,1,1,1,T-392153:AS-392606,-,,,,,3.3,5.7,76.7,84.1
215,P-392449:T-393616,1,1,1,P-392449:T-393616,+,1,yaiT,0,yaiT,2.9,4.7,73.9,78.6
216,T-394319:P-395655,1,1,1,T-394319:P-395655,-,1,ampH,0,ampH,3.9,4.9,88.2,76.8
217,P-395567:T-398365,1,1,1,P-395567:T-398365,+,2,sbmA-yaiW,0,sbmA-yaiW,4.5,5.4,95,82.4
218,T-397971:P-398607,1,1,1,T-397971:P-398607,-,1,yaiY,0,yaiY,,6.3,,99.7
219,P-398669:T-399573,1,1,1,P-398669:T-399573,+,1,yaiZ,0,yaiZ,4.4,5.7,92.5,87.6
220,T-399038:P-400216,1,1,1,T-399038:P-400216,-,1,ddlA,0,ddlA,6.3,4.1,97.8,70.8
221,,,,,P-400544:T-400956,+,1,,,iraP,6.9,8.9,90.1,100
222,P-400544:T-402910,3,2,5,P-400544:T-402910,+,3,phoA-psiF:iraP,1,iraP-phoA-psiF,4.5,5.8,91.6,78.6
223,,,,,S-400954:T-400956,+,,,,,4.5,7.6,100,100
224,,,,,S-400954:T-402910,+,2,,,phoA-psiF,4,5.1,91.9,74.1
225,,,,,S-402456:T-402910,+,1,,,psiF,4.2,9.7,85.5,100
226,T-403903:P-404909,1,1,1,T-403903:P-404909,-,1,proC,0,proC,5.3,5.7,98.8,91.4
227,,,,,P-404966:T-406430,+,3,,,yaiI-aroL-yaiA,7.2,4.7,100,64.4
228,,,,,P-404966:T-407719,+,5,,,yaiI-aroL-yaiA-aroM-yaiE,7,6.2,100,81
229,P-404966:T-407755,4,3,11,P-404966:T-407755,+,5,yaiI:yaiE:aroL-yaiA-aroM,2,yaiI-aroL-yaiA-aroM-yaiE,7,6.1,99.2,81.3
230,,,,,S-405503:T-406430,+,2,,,aroL-yaiA,8.2,6.4,100,82.1
231,,,,,S-405503:T-407719,+,4,,,aroL-yaiA-aroM-yaiE,7.4,7.2,100,92.5
232,,,,,S-405503:T-407755,+,4,,,aroL-yaiA-aroM-yaiE,7.3,7.2,99,92.6
233,,,,,S-406179:T-406430,+,1,,,yaiA,9.2,11.6,100,100
234,,,,,S-406179:T-407719,+,3,,,yaiA-aroM-yaiE,7.3,8.4,100,100
235,,,,,S-406179:T-407755,+,3,,,yaiA-aroM-yaiE,7.1,8.4,98.6,100
236,,,,,S-406504:T-407719,+,2,,,aroM-yaiE,6.8,7.8,100,100
237,,,,,S-406504:T-407755,+,2,,,aroM-yaiE,6.6,7.7,98.2,100
238,P-407799:T-408282,1,1,1,P-407799:T-408282,+,1,ykiA,0,ykiA,3.4,6.6,83.5,100
239,T-407912:P-409273,1,1,1,T-407912:P-409273,-,1,rdgC,0,rdgC,6.3,2,99.6,31.3
240,P-409278:T-410313,1,1,1,P-409278:T-410313,+,1,mak,0,mak,6.2,7.6,93.3,96.6
241,,,,,T-410492:S-411732,-,1,,,araJ,2.7,2.8,71.4,45.4
242,,,,,T-410492:S-411807,-,1,,,araJ,2.9,3,73,48.5
